Address,Count,Business,Longitude,Latitude
42 Broadway,1,New Street Barber Shop,-74.0126029,40.7059797
45 John Street,1,Suited,-74.0079162,40.7093194
48 Stone Street,1,The Migrant Kitchen,-74.011576,40.7040261
49 Nassau Street,1,Sumi Eyelashes,-74.009177,40.708882
50 Murray Street,1,7-Eleven,-74.0100543,40.7141901
51 Murray Street,1,Nail Spy,-74.00916823,40.71461818
55 Nassau Street,1,Gems on Maiden,-74.00900543,40.70906084
56 Pine Street,1,Scoops & Snacks,-74.008381,40.706772
60 Fulton Street,1,P.F. Chang's To-Go,-74.0051562,40.7084956
60 Warren Street,1,Lashes Tribeca,-74.00938064,40.7150908
66 Pearl Street,1,3 Times,-74.0107,40.703608
67 Wall Street,1,Biryani Kitchen,-74.0083779,40.7055787
69 Murray Street,1,ManiCare,-74.01040029,40.7146088
70 Fulton Street,1,Double Smoke Choice,-74.00539203,40.70890622
70 Pine Street,5,"Mint House at 70 Pine, Spear Physical Therapy, SAGA, Brooklyn Beef N' Cheese, Overstory",-74.0077715,40.7065047
71 Nassau Street,1,Salt & Pepper,-74.008546,40.709758
74 Warren Street,1,Homemade by Miriam,-74.01010077,40.71524033
76 Pearl Street,1,Nara Sushi,-74.01042373,40.70378478
80 Maiden Lane,2,"Cafe Hestia, Five Guys",-74.0077735,40.7071307
80 Nassau Street,1,Danbangg,-74.008055,40.709829
85 West Broadway,1,Smyth Tribeca,-74.009183,40.715144
87 John Street,1,Chop&Go,-74.00639739,40.70839072
88 Greenwich Street,2,"7-Eleven, Wattle Cafe",-74.0143621,40.7081175
88 Nassau Street,1,Nassau St. Convenience Smoke Shop,-74.0077645,40.7100124
90 West Street,1,Gorillas,-74.0144578,40.7097702
94 Greenwich Street,1,Siena Pizza & Cannoli,-74.013782,40.708143
96 Broadway,1,Charles Schwab,-74.011103,40.7079445
98 William Street,2,"American Beauty Salon, Orangetheory Fitness",-74.0071912,40.70833214
Pier 17,4,"Momofuku Ssäm Bar, Mister Dips, Carne Mare, Pearl Alley",-74.0037097,40.7065616
