Address,Count,Business,Longitude,Latitude
50 Murray Street,1,Schnipper's Quality Kitchen,-74.0100543,40.7141901
52 Broadway,1,Amalgamated Bank,-74.01250549,40.70658083
53 Nassau Street,1,Diwanekhaas,-74.0090596,40.70897937
53 Park Place,1,Amish Market Tribeca,-74.01023639,40.71379976
55 Broadway,1,Sale & Pepe Caterers,-74.013103,40.706846
55 Liberty Street,1,Starbucks,-74.0093796,40.7088662
55 Murray Street,1,DeRose Method Tribeca,-74.009678,40.714278
55 Nassau Street,1,Jacobi Barber Shop,-74.00900543,40.70906084
56 Pine Street,1,Green Healthy Food Cafe,-74.008381,40.706772
6 Stone Street,1,Murphy's Tavern,-74.0125661,40.70399907
60 Wall Street,5,"Cobbler Express, 60 Wall Street Atrium, The Country Cafe, Starbucks, Martin News",-74.008536,40.706205
63 Broadway,1,Shobha,-74.012578,40.707395
66 West Broadway,1,Vin Sur Vingt,-74.0099756,40.71479064
67 Wall Street,1,Oaxaca Taqueria,-74.0083779,40.7055787
70 Fulton Street,1,R&R Coffee,-74.00539203,40.70890622
70 Pine Street,1,Juice Brothers,-74.0077715,40.7065047
71 Broadway,1,Signature Bank,-73.9795163,40.7624779
71 Nassau Street,1,T-Mobile,-74.008546,40.709758
74 Warren Street,1,Galli Theater,-74.01010077,40.71524033
75 Murray Street,1,75 Club,-74.010548,40.7148194
77 Warren Street,1,Warren 77,-74.01030731,40.71513884
80 Maiden Lane,1,NYC Footcare,-74.0077735,40.7071307
80 Nassau Street,2,"Monster Deals, Mike's Noodle House",-74.008055,40.709829
80 Warren Street,1,Xtend Barre,-74.0101787,40.7154179
81 Fulton Street,1,150 Market,-74.00594178,40.70939409
82 Fulton Street,6,"Tandoor Palace, Taslima Newsstand, Fulton Haircutters, Asian Wok Chinese Restaurant, NY City Buyers, Bennie's Thai Café",-74.0058365,40.7091006
84 William Street,2,"AKA Wall Street, Blue Ribbon Federal Grill",-74.0076891,40.7079777
88 Greenwich Street,1,Boundless Plains Espresso,-74.0143621,40.7081175
88 Nassau Street,1,Nassau Electronics,-74.0077645,40.7100124
9 Murray Street,1,Children's Tumbling,-74.008054,40.713454
90 Chambers Street,1,Kaede,-74.00742998,40.7145956
90 Water Street,1,Bluestone Lane Coffee,-74.0085431,40.7047585
90 West Broadway,1,Capital One Bank,-74.00949576,40.71553359
92 Chambers Street,1,Abey Nails & Spa,-74.00809623,40.71433216
96 Broadway,1,T.D. Ameritrade,-74.011103,40.7079445
96 Chambers Street,1,Sophie's Cuban Cuisine,-74.00760288,40.71467545
98 Chambers Street,1,Tribeca Hair Studio,-74.007725,40.714627
99 Nassau Street,4,"U Tea, NYC Check Express, Uriel Shoe Repair, Tansey Tang Jewelry, Gemstone & Gifts",-74.007586,40.710504
Pier 17,1,Bar Way?,-74.0037097,40.7065616
