Address,Count,Business,Longitude,Latitude
1 Fulton Street,1,10 Corso Como,-74.0032893,40.7067825
1 Hanover Square,1,Financier Patisserie,-74.009734,40.7046145
10 Liberty Street,1,Financier Patisserie,-74.00808246,40.70738715
110 William Street,1,HSBC,-74.0067282,40.7087737
111 Broadway,1,Jos. A. Bank,-74.011961,40.708834
112 John Street,1,Angel Body Work,-74.00578067,40.70759299
112 Trinity Place,1,NYU Medhattan Urgent Care,-74.01191803,40.70971938
115 Broadway,1,HSBC,-74.0109198,40.7087133
119 South Street,1,The Paris Cafe´,-74.0015425,40.7073164
12 John Street,1,Casa Toscana,-74.0091249,40.7098261
124 Nassau Street,1,New Fresh Cleaners,-74.00680535,40.71093271
126 Nassau Street,1,The Beekman Pub,-74.006595,40.711139
136 William Street,1,Smashburger,-74.0065778,40.70932506
14 Fulton Street,2,"Cynthia Rowley, Lee Lee's Forest",-74.003574,40.706682
145 Nassau Street,2,"Brooklyn Bridge Bike Rent, Antonella's Barbershop",-74.0067,40.71165
150 Broadway,1,Modell's Sporting Goods,-74.0100953,40.7091841
154 Chambers Street,1,Tribeca Hardware,-74.01002277,40.71577786
156 Chambers Street,1,Mariachi's,-74.01007232,40.71580045
156 Front Street,1,Chase Bank,-74.005795,40.706101
164 Pearl Street,1,Lane Jewelers,-74.007216,40.705889
166 William Street,1,Dante's Gourmet Foods,-74.00570642,40.71021986
17 John Street,1,The Assemblage,-74.00880803,40.70988819
170 John Street,1,Trading Post,-74.00428412,40.70594799
18 Pine Street,1,18|8 Fine Men's Salons,-74.009875,40.707769
185 Greenwich Street,3,"Kusmi Tea, Bose, Brooklyn Bleu",-74.0113762,40.7113982
2 River Terrace,1,Le Pain Quotidien,-74.0165239,40.7154964
2 Water Street,1,New York Health & Racquet Club,-74.012756,40.702732
200 Water Street,2,"Plaza Deli, The Chubby Princess",-74.0067575,40.7073413
200 West Street,1,Artsee Eyewear,-74.01477833,40.71512288
21 South End Avenue,1,Ningbo Cafe,-74.016842,40.713273
22 Cortlandt Street,1,Financier Patisserie,-74.01105306,40.70959625
225 Liberty Street,2,"Flowers by Yasmine, Pink",-74.015486,40.7123253
230 Vesey Street,4,"Northern Tiger, Paul Smith, Herm?s, Burberry",-74.0154149,40.7131304
233 Broadway,1,Starbucks,-74.0082925,40.7124491
25 Murray Street,1,Downtown Florist,-74.0081429,40.7140217
261 Water Street,1,ACQUA at Peck Slip,-74.00172361,40.7082435
28 Warren Street,1,Yoga Shanti,-74.0079198,40.7143886
38 Warren Street,2,"7-Eleven, Sleepy's",-74.00845479,40.71452058
39 John Street,4,"C & J Luxury Inc., Jupioca, 9 to 5 Fashion Outlet, S&M Universal Jewelry",-74.008132,40.709435
47 Broadway,2,"NY Gifts, China Chalet",-74.012974,40.706401
5 Beekman Street,1,Augustine,-74.006806,40.711262
50 Murray Street,1,Schnipper's Quality Kitchen,-74.0100543,40.7141901
53 Park Place,1,Amish Market Tribeca,-74.01023639,40.71379976
56 Pine Street,1,Green Healthy Food Cafe,-74.008381,40.706772
66 West Broadway,1,Vin Sur Vingt,-74.0099756,40.71479064
70 Fulton Street,1,R&R Coffee,-74.00539203,40.70890622
71 Nassau Street,1,T-Mobile,-74.008546,40.709758
75 Murray Street,1,75 Club,-74.010548,40.7148194
77 Warren Street,1,Warren 77,-74.01030731,40.71513884
80 Warren Street,1,Xtend Barre,-74.0101787,40.7154179
81 Fulton Street,1,150 Market,-74.00594178,40.70939409
82 Fulton Street,4,"Fulton Haircutters, Asian Wok Chinese Restaurant, NY City Buyers, Bennie's Thai Café",-74.0058365,40.7091006
84 William Street,2,"AKA Wall Street, Blue Ribbon Federal Grill",-74.0076891,40.7079777
90 Chambers Street,1,Kaede,-74.00742998,40.7145956
90 West Broadway,1,Capital One Bank,-74.00949576,40.71553359
96 Chambers Street,1,Sophie's Cuban Cuisine,-74.00760288,40.71467545
99 Nassau Street,1,"Tansey Tang Jewelry, Gemstone & Gifts",-74.007586,40.710504
